codigo,nombre,vbp,di_domestica
321111,"Aserraderos integrados (incluye a la 321112 ""Aserrado de tablas y tablones"" y a la 321113 ""Tratamiento de la madera y fabricación de postes y durmientes"")",24727.112,23793.360000000004
321210,Fabricación de laminados y aglutinados de madera,3662.6990000000023,3188.0099999999984
321910,Fabricación de productos de madera para la construcción,8357.33,7102.836000000003
321920,Fabricación de productos para embalaje y envases de madera,4503.980000000002,4036.5179999999987
321991,"Fabricación de productos de materiales trenzables, excepto palma",1616.083,14.4
321992,Fabricación de artículos y utensilios de madera para el hogar,2263.5890000000004,1.268
321993,Fabricación de productos de madera de uso industrial,753.6349999999995,711.1019999999999
321999,Fabricación de otros productos de madera,1844.5159999999996,229.69200000000006
322122,"Fabricación de pulpa y papel (incluye a la 322110 ""Fabricación de pulpa"" y 322121 ""Fabricación de papel en plantas integradas""",39467.613999999936,36381.84999999999
322132,"Fabricación de cartón y cartoncillo a partir de pulpa (incluye a la 322131 ""Fabricación de cartón en plantas integradas"")",6108.519000000006,4627.008999999998
322210,Fabricación de envases de cartón,43772.24099999999,33759.981000000036
322220,Fabricación de bolsas de papel y productos celulósicos recubiertos y tratados,11159.625000000002,3730.002000000001
322230,Fabricación de productos de papelería,7349.216999999999,2724.5889999999977
322291,Fabricación de pañales desechables y productos sanitarios,15920.622,1623.3220000000001
322299,Fabricación de otros productos de cartón y papel,9147.982000000002,4940.902999999999
323111,"Impresión de libros, periódicos y revistas",10398.032,2077.2490000000003
323119,Impresión de formas continuas y otros impresos,32201.532000000007,28390.44599999998
323120,Industrias conexas a la impresión,1234.1119999999987,1216.0189999999996
324110,Refinación de petróleo,747829.867,446474.4370000005
324120,Fabricación de productos de asfalto,7995.310000000007,7691.181000000002
324191,Fabricación de aceites y grasas lubricantes,16162.677000000005,12616.167000000014
324199,Fabricación de coque y otros productos derivados del petróleo refinado y del carbón mineral,424.14500000000044,2.42
325110,Fabricación de petroquímicos básicos del gas natural y del petróleo refinado,355972.5400000002,238412.69400000005
325120,Fabricación de gases industriales,4058.4260000000017,3833.355000000001
325130,Fabricación de pigmentos y colorantes sintéticos,6738.811999999993,3589.456000000003
325180,Fabricación de otros productos químicos básicos inorgánicos,27627.824999999997,18729.949
325190,Fabricación de otros productos químicos básicos orgánicos,36869.79800000007,21205.691000000003
325211,Fabricación de resinas sintéticas,50966.69399999994,34185.57999999997
325212,Fabricación de hules sintéticos,6264.745999999999,2522.0750000000025
325220,Fabricación de fibras químicas,10001.74600000001,6417.4150000000045
325310,Fabricación de fertilizantes,13537.923000000024,7542.809
