anio,mineral,etapa,valor_total_usd,destino_principal,share_principal,share_china,share_eua,n_destinos
1997,cobre,E1 Mena/concentrado,18588479.0,Peru,0.5415,0.0,0.2055,4
1997,cobre,E2 Metal en bruto/refinado,508233775.0,Estados Unidos,0.6553,0.0009,0.6553,18
1997,cobre,E3 Semimanufacturas,144051408.0,Estados Unidos,0.8362,0.0,0.8362,44
1997,cobre,E4 Manufacturas,72261511.0,Estados Unidos,0.9596,0.0,0.9596,40
1997,fluorita,E1 Espato fluor (crudo),23322192.0,Canada,0.2634,0.0,0.232,15
1997,fluorita,E2 Fluoroquimica,115420618.0,Estados Unidos,0.7221,0.0,0.7221,15
1997,grafito,E1 Grafito natural,2299340.0,Estados Unidos,0.9377,0.0,0.9377,5
1997,grafito,E2 Grafito artificial/prep.,17296612.0,Estados Unidos,0.852,0.0,0.852,12
1997,grafito,E3 Electrodos/articulos de carbono,53374327.0,Estados Unidos,0.5539,0.0,0.5539,29
1997,manganeso,E1 Mena/concentrado,6756622.0,Estados Unidos,0.8113,0.0,0.8113,12
1997,manganeso,E2 Ferroaleaciones,50073153.0,Estados Unidos,0.878,0.0,0.878,13
1997,manganeso,E3 Quimicos/metal,4913882.0,Singapur,0.3035,0.0,0.0543,18
1997,oro,E1 Mena/concentrado,2865503.0,socio_58,0.5049,0.0,0.0108,4
1997,oro,E2 Bruto/semilabrado,132110309.0,Estados Unidos,0.8793,0.0,0.8793,4
1997,oro-plata (manufacturas),E4 Joyeria/orfebreria,262748071.0,Estados Unidos,0.9349,0.0,0.9349,62
1997,plata,E1 Mena/concentrado,232354.0,Estados Unidos,1.0,0.0,1.0,1
1997,plata,E2 Bruto/semilabrado,322043035.0,Estados Unidos,0.4463,0.0,0.4463,17
1997,plomo,E1 Mena/concentrado,8020893.0,Canada,0.4929,0.0,0.048,6
1997,plomo,E2 Metal en bruto/refinado,64738481.0,Estados Unidos,0.6662,0.0,0.6662,16
1997,plomo,E3 Semimanufacturas,5500.0,Estados Unidos,0.9635,0.0,0.9635,2
1997,plomo,E4 Manufacturas,1324887.0,Estados Unidos,0.8734,0.0,0.8734,8
1997,silice,E1 Arena silica/cuarzo,271128.0,Estados Unidos,0.7758,0.0,0.7758,8
1997,silice,E2 Silicio/ferrosilicio/SiO2,2184585.0,Estados Unidos,0.4314,0.0,0.4314,22
1997,zinc,E1 Mena/concentrado,80546676.0,socio_58,0.4184,0.0,0.0547,12
1997,zinc,E2 Metal en bruto/refinado,96024086.0,Estados Unidos,0.766,0.0,0.766,13
1997,zinc,E3 Semimanufacturas,52258335.0,Estados Unidos,0.9887,0.0,0.9887,11
1997,zinc,E4 Manufacturas,2913503.0,Estados Unidos,0.9316,0.0,0.9316,13
1998,barita,E1 Crudo/molido,1469473.0,Estados Unidos,0.9821,0.0,0.9821,2
1998,barita,E2 Quimicos de bario,7457958.0,Estados Unidos,0.9994,0.0,0.9994,2
1998,cobre,E1 Mena/concentrado,25456433.0,Japon,0.6286,0.0611,0.0875,9
1998,cobre,E2 Metal en bruto/refinado,474989613.0,Estados Unidos,0.9216,0.0,0.9216,17
