anio,pais,pais_nombre,sector,exgr_musd,dva_share,vax_mineria_musd,reproc_domestico_share,crudo_share,foreign_abs_share
2006,MEX,Mexico,B05_06,33254.8,0.966,36324.1,0.1756,0.8244,0.5677
2006,MEX,Mexico,B07_08,1216.4,0.8941,2524.5,0.6756,0.3244,0.3289
2006,MEX,Mexico,B09,2.4,0.8701,299.7,0.1786,0.8214,0.0724
2006,CHL,Chile,B05_06,1.8,0.9133,107.8,0.8065,0.1935,0.3377
2006,CHL,Chile,B07_08,30061.3,0.9272,26173.9,0.0586,0.9414,0.8137
2006,CHL,Chile,B09,22.2,0.9687,29.4,0.2566,0.7434,0.2573
2006,AUS,Australia,B05_06,25546.6,0.9175,19073.3,0.1026,0.8974,0.7065
2006,AUS,Australia,B07_08,18614.9,0.8976,18089.3,0.3666,0.6334,0.7322
2006,AUS,Australia,B09,61.0,0.913,2206.1,0.256,0.744,0.4954
2006,FIN,Finlandia,B05_06,41.4,0.6359,80.3,0.7876,0.2124,0.4453
2006,FIN,Finlandia,B07_08,150.0,0.6832,275.0,0.7751,0.2249,0.5733
2006,FIN,Finlandia,B09,0.7,0.7597,1.0,0.6326,0.3674,0.4417
2006,SWE,Suecia,B05_06,7.3,0.5851,25.2,0.9194,0.0806,0.4199
2006,SWE,Suecia,B07_08,1091.9,0.7798,1677.7,0.6279,0.3721,0.8282
2006,SWE,Suecia,B09,181.0,0.6956,68.1,0.0176,0.9824,0.9773
2007,MEX,Mexico,B05_06,37288.8,0.9659,41021.1,0.18,0.82,0.5747
2007,MEX,Mexico,B07_08,1608.0,0.898,3332.6,0.6714,0.3286,0.3704
2007,MEX,Mexico,B09,3.2,0.8634,344.5,0.1814,0.8186,0.07
2007,CHL,Chile,B05_06,1.9,0.9055,124.1,0.7693,0.2307,0.3492
2007,CHL,Chile,B07_08,34718.2,0.908,29288.6,0.0653,0.9347,0.8171
2007,CHL,Chile,B09,20.1,0.9402,29.4,0.3652,0.6348,0.2616
2007,AUS,Australia,B05_06,28919.2,0.9183,23363.8,0.1331,0.8669,0.6656
2007,AUS,Australia,B07_08,24115.1,0.8702,20718.7,0.3762,0.6238,0.7745
2007,AUS,Australia,B09,77.7,0.922,2644.5,0.2905,0.7095,0.4316
2007,FIN,Finlandia,B05_06,26.0,0.6589,87.7,0.8755,0.1245,0.4934
2007,FIN,Finlandia,B07_08,196.9,0.6989,355.0,0.7555,0.2445,0.5854
2007,FIN,Finlandia,B09,1.3,0.3697,-0.7,0.5085,0.4915,0.5168
2007,SWE,Suecia,B05_06,8.3,0.5159,27.8,0.9188,0.0812,0.3984
2007,SWE,Suecia,B07_08,1155.5,0.7698,1847.1,0.6544,0.3456,0.7978
2007,SWE,Suecia,B09,196.1,0.7311,88.8,0.0204,0.9796,0.9735
2008,MEX,Mexico,B05_06,41373.7,0.9651,45956.4,0.1914,0.8086,0.5562
2008,MEX,Mexico,B07_08,1664.8,0.8973,3106.5,0.6591,0.3409,0.3872
2008,MEX,Mexico,B09,2.8,0.8715,422.5,0.1943,0.8057,0.0664
2008,CHL,Chile,B05_06,1.5,0.836,90.6,0.6335,0.3665,0.3618
2008,CHL,Chile,B07_08,33902.3,0.7984,20505.6,0.0487,0.9513,0.8125
2008,CHL,Chile,B09,12.4,0.8847,17.8,0.3954,0.6046,0.2455
2008,AUS,Australia,B05_06,41570.5,0.9362,39036.2,0.1594,0.8406,0.6608
2008,AUS,Australia,B07_08,30731.0,0.8717,23185.8,0.3377,0.6623,0.786
2008,AUS,Australia,B09,80.8,0.8891,2283.8,0.2874,0.7126,0.43
2008,FIN,Finlandia,B05_06,29.9,0.7423,83.6,0.8406,0.1594,0.3571
2008,FIN,Finlandia,B07_08,210.7,0.7073,428.5,0.7999,0.2001,0.5759
2008,FIN,Finlandia,B09,19.1,0.705,10.0,0.296,0.704,0.6997
2008,SWE,Suecia,B05_06,13.9,0.5328,33.0,0.8872,0.1128,0.4305
2008,SWE,Suecia,B07_08,1353.2,0.7876,2350.5,0.66,0.34,0.8087
2008,SWE,Suecia,B09,248.7,0.678,93.7,0.0688,0.9312,0.9077
2008,CHN,China,B05_06,7123.3,0.9137,57569.2,0.907,0.093,0.2933
2008,CHN,China,B07_08,3110.0,0.8087,19573.9,0.9209,0.0791,0.2969
2008,CHN,China,B09,353.7,0.8453,1596.1,0.8034,0.1966,0.2634
2008,BRA,Brasil,B05_06,13682.8,0.8994,13169.2,0.3634,0.6366,0.3411
2008,BRA,Brasil,B07_08,16249.9,0.826,8952.2,0.1341,0.8659,0.6321
2008,BRA,Brasil,B09,99.6,0.9303,614.4,0.3946,0.6054,0.3059
2008,PER,Peru,B05_06,272.9,0.888,1489.4,0.6459,0.3541,0.4277
2008,PER,Peru,B07_08,13856.9,0.8492,9676.3,0.0815,0.9185,0.8971
2008,PER,Peru,B09,2.2,0.9072,346.0,0.3022,0.6978,0.365
2009,MEX,Mexico,B05_06,25218.8,0.9631,27527.1,0.1843,0.8157,0.585
2009,MEX,Mexico,B07_08,1664.3,0.9047,3057.7,0.6257,0.3743,0.4459
2009,MEX,Mexico,B09,3.9,0.8662,339.4,0.208,0.792,0.0606
2009,CHL,Chile,B05_06,1.9,0.867,73.5,0.574,0.426,0.3282
2009,CHL,Chile,B07_08,30860.1,0.8435,19056.9,0.0406,0.9594,0.844
2009,CHL,Chile,B09,10.7,0.876,14.9,0.4246,0.5754,0.2581
2009,AUS,Australia,B05_06,34120.7,0.8981,23969.3,0.143,0.857,0.6895
2009,AUS,Australia,B07_08,36469.3,0.882,27441.9,0.2678,0.7322,0.8167
2009,AUS,Australia,B09,70.3,0.9137,2794.1,0.2305,0.7695,0.4516
